[2020-01-29 11:54:32] Linux 4.15.0-76-generic (lc-server.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/29/20 	_x86_64_	(16 CPU)
[2020-01-29 11:54:33] 
[2020-01-29 11:54:33] 11:54:32      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-01-29 11:58:21] 11:58:21    20001     22897  10151.00      0.00 1755576  558840   4.55  node /users/dyv
[2020-01-29 11:58:22] 11:58:22    20001     22897    512.00      0.00 1755576  558880   4.55  node /users/dyv
[2020-01-29 11:58:23] 11:58:23    20001     22897    108.00      0.00 1755576  558884   4.55  node /users/dyv
[2020-01-29 11:58:24] 11:58:24    20001     22897    211.00      0.00 1755576  558928   4.55  node /users/dyv
[2020-01-29 11:58:25] 11:58:25    20001     22897      1.00      0.00 1755576  558928   4.55  node /users/dyv
[2020-01-29 11:58:26] 11:58:26    20001     22897    664.00      0.00 1755576  558940   4.55  node /users/dyv
[2020-01-29 11:58:27] 11:58:27    20001     22897     23.00      0.00 1755576  558940   4.55  node /users/dyv
[2020-01-29 11:58:28] 11:58:28    20001     22897      0.00      0.00 1755576  558940   4.55  node /users/dyv
[2020-01-29 11:58:29] 11:58:29    20001     22897      1.00      0.00 1755576  558940   4.55  node /users/dyv
[2020-01-29 11:58:30] 11:58:30    20001     22897  17057.00      0.00 1746360  559248   4.55  node /users/dyv
[2020-01-29 11:58:31] 11:58:31    20001     22897  17556.00      0.00 1746360  559276   4.55  node /users/dyv
[2020-01-29 11:58:32] 11:58:32    20001     22897    664.00      0.00 1746360  559748   4.56  node /users/dyv
