[2020-01-29 14:02:20] Linux 4.15.0-76-generic (lc-server.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/29/20 	_x86_64_	(16 CPU)
[2020-01-29 14:02:21] 
[2020-01-29 14:02:21] 14:02:20      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-01-29 14:05:27] 14:05:27    20001     22897    178.00      0.00 1690348  497180   4.05  node /users/dyv
[2020-01-29 14:05:28] 14:05:28    20001     22897    135.00      0.00 1690348  497708   4.05  node /users/dyv
[2020-01-29 14:05:29] 14:05:29    20001     22897    173.00      0.00 1690348  498500   4.06  node /users/dyv
[2020-01-29 14:05:30] 14:05:30    20001     22897    889.00      0.00 1690348  502196   4.09  node /users/dyv
[2020-01-29 14:05:31] 14:05:31    20001     22897    157.00      0.00 1690348  502724   4.09  node /users/dyv
[2020-01-29 14:05:32] 14:05:32    20001     22897    136.00      0.00 1690348  503252   4.10  node /users/dyv
[2020-01-29 14:05:33] 14:05:33    20001     22897     28.00      0.00 1690348  503252   4.10  node /users/dyv
[2020-01-29 14:05:34] 14:05:34    20001     22897      0.00      0.00 1690348  503252   4.10  node /users/dyv
[2020-01-29 14:05:35] 14:05:35    20001     22897    136.00      0.00 1690348  504028   4.10  node /users/dyv
[2020-01-29 14:05:36] 14:05:36    20001     22897    135.00      0.00 1690348  504556   4.11  node /users/dyv
[2020-01-29 14:05:37] 14:05:37    20001     22897     66.00      0.00 1690348  504820   4.11  node /users/dyv
[2020-01-29 14:05:38] 14:05:38    20001     22897      0.00      0.00 1690348  504820   4.11  node /users/dyv
[2020-01-29 14:05:39] 14:05:39    20001     22897    125.00      0.00 1690348  505084   4.11  node /users/dyv
[2020-01-29 14:05:40] 14:05:40    20001     22897    128.00      0.00 1690348  505608   4.12  node /users/dyv
[2020-01-29 14:05:41] 14:05:41    20001     22897      0.00      0.00 1690348  505608   4.12  node /users/dyv
[2020-01-29 14:05:42] 14:05:42    20001     22897     77.00      0.00 1690348  506128   4.12  node /users/dyv
[2020-01-29 14:05:43] 14:05:43    20001     22897    139.00      0.00 1690348  506656   4.12  node /users/dyv
[2020-01-29 14:05:44] 14:05:44    20001     22897    162.00      0.00 1690348  507184   4.13  node /users/dyv
[2020-01-29 14:05:45] 14:05:45    20001     22897    151.00      0.00 1690348  507712   4.13  node /users/dyv
[2020-01-29 14:05:46] 14:05:46    20001     22897    141.00      0.00 1690348  508504   4.14  node /users/dyv
[2020-01-29 14:05:47] 14:05:47    20001     22897    168.00      0.00 1690348  509032   4.14  node /users/dyv
[2020-01-29 14:05:48] 14:05:48    20001     22897    136.00      0.00 1690348  509560   4.15  node /users/dyv
[2020-01-29 14:05:49] 14:05:49    20001     22897    160.00      0.00 1690348  510088   4.15  node /users/dyv
[2020-01-29 14:05:50] 14:05:50    20001     22897    135.00      0.00 1690348  510616   4.16  node /users/dyv
[2020-01-29 14:05:51] 14:05:51    20001     22897    159.00      0.00 1690348  511408   4.16  node /users/dyv
[2020-01-29 14:05:52] 14:05:52    20001     22897    149.00      0.00 1690348  511936   4.17  node /users/dyv
[2020-01-29 14:05:53] 14:05:53    20001     22897    139.00      0.00 1690348  512464   4.17  node /users/dyv
[2020-01-29 14:05:54] 14:05:54    20001     22897    164.00      0.00 1690348  513256   4.18  node /users/dyv
[2020-01-29 14:05:55] 14:05:55    20001     22897    142.00      0.00 1690348  513784   4.18  node /users/dyv
[2020-01-29 14:05:56] 14:05:56    20001     22897    165.00      0.00 1690348  514312   4.19  node /users/dyv
[2020-01-29 14:05:57] 14:05:57    20001     22897    154.00      0.00 1690348  515104   4.19  node /users/dyv
[2020-01-29 14:05:58] 14:05:58    20001     22897    138.00      0.00 1690348  515632   4.20  node /users/dyv
